Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Bahadorestani, A., Karlsen, J.T., Farimani, N.M.","57209500943; 7005440183; 57194554381","Novel Approach to Satisfying Stakeholders in Megaprojects: Balancing Mutual Values",2020,"Journal of Management in Engineering",36,"2", 04019047,,,,12,10.1061/(ASCE)ME.1943-5479.0000734,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076183963&partnerID=40&md5=b42fa04e4786661c1cd640545f9b02eb",Article,Final,"",Scopus,2-s2.0-85076183963
"Durdyev, S., Hosseini, M.R., Martek, I., Ismail, S., Arashpour, M.","55132047800; 57193617746; 55840681900; 55255925100; 55520813200","Barriers to the use of integrated project delivery (IPD): a quantified model for Malaysia",2020,"Engineering, Construction and Architectural Management",27,"1",,186,204,,12,10.1108/ECAM-12-2018-0535,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070334774&partnerID=40&md5=25fce344420f3ce9d3d31a1231c0dd2b",Article,Final,"",Scopus,2-s2.0-85070334774
"Dal Mas, F., Piccolo, D., Edvinsson, L., Skrap, M., D’Auria, S.","57216833852; 57218680720; 7202142574; 6701507303; 57218681653","Strategy Innovation, Intellectual Capital Management, and the Future of Healthcare: The Case of Kiron by Nucleode",2020,"Contributions to Management Science",,"",,119,131,,12,10.1007/978-3-030-40390-4_9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090006367&partnerID=40&md5=408829069ff3b263a703ce102ad590bf",Book Chapter,Final,"",Scopus,2-s2.0-85090006367
"Orgut, R.E., Batouli, M., Zhu, J., Mostafavi, A., Jaselskis, E.J.","57189998766; 56705574900; 56206350400; 57202661272; 7003913037","Critical Factors for Improving Reliability of Project Control Metrics throughout Project Life Cycle",2020,"Journal of Management in Engineering",36,"1", 4019033,,,,12,10.1061/(ASCE)ME.1943-5479.0000710,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072518848&partnerID=40&md5=534b0d477905112659d9d9540834e308",Article,Final,"",Scopus,2-s2.0-85072518848
"Kůdela, J., Šomplák, R., Nevrlý, V., Lipovský, T., Smejkalová, V., Dobrovský, L.","56769626500; 55515602000; 56769760500; 57203354693; 57194697108; 57209068979","Multi-objective strategic waste transfer station planning",2019,"Journal of Cleaner Production",230,"",,1294,1304,,12,10.1016/j.jclepro.2019.05.167,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066454050&partnerID=40&md5=2c84f0bc9d59e42394d2eea7942d0c00",Article,Final,"",Scopus,2-s2.0-85066454050
"Thompson, B.S.","56108081100","Payments for ecosystem services and corporate social responsibility: Perspectives on sustainable production, stakeholder relations, and philanthropy in Thailand",2019,"Business Strategy and the Environment",28,"4",,497,511,,12,10.1002/bse.2260,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058246848&partnerID=40&md5=72067c8eb93e4e1ba0ae5e929fce4118",Article,Final,"",Scopus,2-s2.0-85058246848
"Lindkvist, C., Juhasz-Nagy, E., Nielsen, B.F., Neumann, H.-M., Lobaccaro, G., Wyckmans, A.","36163447300; 57204058025; 56035630100; 57200628684; 55979502000; 55345780500","Intermediaries for knowledge transfer in integrated energy planning of urban districts",2019,"Technological Forecasting and Social Change",142,"",,354,363,,12,10.1016/j.techfore.2018.07.020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054320217&partnerID=40&md5=8c366c8fa5456ab5781ca829d27de442",Article,Final,"",Scopus,2-s2.0-85054320217
"Kuwaiti, E.A., Ajmal, M.M., Hussain, M.","57194542619; 34979872400; 50061196200","Determining success factors in Abu Dhabi health care construction projects: customer and contractor perspectives",2018,"International Journal of Construction Management",18,"5",,430,445,,12,10.1080/15623599.2017.1333401,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020737776&partnerID=40&md5=d695bdbcd353dac075206b6690c9c3de",Article,Final,"",Scopus,2-s2.0-85020737776
"Dilling, P.F.A., Harris, P.","57191485726; 55690161500","Reporting on long-term value creation by Canadian companies: A longitudinal assessment",2018,"Journal of Cleaner Production",191,"",,350,360,,12,10.1016/j.jclepro.2018.03.286,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046701123&partnerID=40&md5=1498383a3f7f9af666e355eb477d5341",Article,Final,"",Scopus,2-s2.0-85046701123
"Rogulj, K., Jajac, N.","57191698776; 16063957700","Achieving a Construction Barrier-Free Environment: Decision Support to Policy Selection",2018,"Journal of Management in Engineering",34,"4", 04018020,,,,12,10.1061/(ASCE)ME.1943-5479.0000618,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046131824&partnerID=40&md5=81c36af9c18ae94b8555a0a1007ad598",Article,Final,"",Scopus,2-s2.0-85046131824
